0:18   -   https://shop.mango.com/co/mujer/destacados/rebajas_d14760544
      + 0:18:26   -   Blusa manga abullonada estampada
      + 0:18:26   -   Camisa algodón cuello babydoll
      + 0:18:26   -   Americana cuadros vichy
      + 0:18:26   -   Camisa satinada estampada
      + 0:18:26   -   Vestido detalle fruncido
      + 0:18:26   -   Vestido detalle fruncido
      + 0:18:26   -   Botín piel tacón
      + 0:18:26   -   Americana crop lyocell
      + 0:18:26   -   Vestido estampado cinturón
      + 0:18:26   -    Camiseta hombreras algodón orgánico
      + 0:18:26   -   Vestido denim mangas abullonadas
      + 0:18:26   -   Pantalón recto traje
      + 0:18:26   -   Camiseta manga fruncida
      + 0:18:26   -   Vestido estampado flores
      + 0:18:26   -   Short 100% lino
      + 0:18:26   -   Vestido detalles fruncidos 
      + 0:18:26   -   Camisa fluida botones
      + 0:18:26   -   Vestido estampado tirantes
      + 0:18:26   -   Jersey punto multicolor
      + 0:18:26   -   Pantalón recto pinzas
      + 0:18:26   -   Pantalón 100% lino
      + 0:18:26   -   Polo punto trenzado
      + 0:18:26   -   Camiseta algodón blonda
      + 0:18:26   -   Blusa textura lazo
      + 0:18:26   -   Blusa textura lazo
      + 0:18:26   -   Top estampado volante
      + 0:18:26   -   Vestido estampado manga abullonada
      + 0:18:26   -   Camisa denim manga abullonada
      + 0:18:26   -   Pantalón culotte estampado
      + 0:18:26   -   Vestido satinado escote pico
      + 0:18:26   -   Vestido volante bajo
      + 0:18:26   -   Pantalón algodón cintura elástica
      + 0:18:26   -   Vestido algodón cuadro vichy
      + 0:18:26   -   Short algodón cintura elástica
      + 0:18:26   -   Short denim contraste
      + 0:18:26   -   Blusa fluida estampado floral
      + 0:18:26   -   Chaleco punto cuello pico
      + 0:18:26   -   Vestido textura volante
      + 0:18:26   -   Cárdigan detalles calados
      + 0:18:26   -   Pantalón culotte algodón
      + 0:18:26   -   Botín cremallera tacón
      + 0:18:26   -   Camiseta algodón volantes
      + 0:18:27   -   Jeans skinny tiro alto Soho  
      + 0:18:27   -   Vestido rayas volante
      + 0:18:27   -   Minifalda efecto piel
      + 0:18:27   -   Camisa algodón cuello babydoll
      + 0:18:27   -   Camiseta mangas abullonadas
      + 0:18:27   -   Jersey punto combinado
      + 0:18:27   -   Jersey punto asimétrico 
      + 0:18:27   -   Jeans wideleg crop
      + 0:18:27   -   Minifalda cruzada flores
      + 0:18:27   -   Vestido calado algodón
      + 0:18:27   -   Americana traje estructurada
      + 0:18:27   -   Zapato tacón efecto coco
      + 0:18:27   -   Americana crepé cinturón
      + 0:18:27   -   Jeans Mom-fit 100% algodón
      + 0:18:27   -   Camiseta crop manga larga
      + 0:18:27   -   Vestido corto textura
      + 0:18:27   -   Bota piel caña alta
      + 0:18:27   -   Pantalón recto pinzas
      + 0:18:27   -   Jeans tiro alto Wideleg
      + 0:18:27   -   Pantalón fluido cordón
      + 0:18:27   -   Cárdigan lazo cruzado
      + 0:18:27   -   Cárdigan lazo cruzado
      + 0:18:27   -   Camiseta algodón rayas
      + 0:18:27   -   Jeans rectos tobilleros
      + 0:18:27   -   Vestido fluido volantes
      + 0:18:27   -   Jersey detalle fruncido
      + 0:18:27   -   Vestido volante bajo
      + 0:18:27   -   Americana 100% lino
      + 0:18:27   -   Falda midi volantes
      + 0:18:27   -   Pantalón 100% lyocell
      + 0:18:27   -   Camiseta algodón canalé
      + 0:18:27   -   Jersey punto fino
      + 0:18:27   -   Chaleco punto ochos
      + 0:18:27   -   Vestido estampado manga abullonada
      + 0:18:27   -   Pantalón cintura elástica
      + 0:18:27   -   Top plisado abertura
      + 0:18:27   -   Americana entallada bolsillos
      + 0:18:27   -   Pantalón culotte algodón
      + 0:18:28   -   Americana traje estructurada
      + 0:18:28   -   Pantalón algodón cintura elástica
      + 0:18:28   -   Pantalón fluido estampado
      + 0:18:28   -   Camisa rayas oversize
      + 0:18:28   -   Chaqueta estilo kimono
      + 0:18:28   -   Chaqueta tweed bolsillos
      + 0:18:28   -   Jersey mangas abullonadas
      + 0:18:28   -   Jersey botones decorativos
      + 0:18:28   -   Camiseta tejido reciclado mensaje
    0:18:41   -   300 products. (Page 2)
      + 0:18:41   -   Cazadora piel bolsillos
      + 0:18:41   -   Vestido camisero efecto piel
      + 0:18:41   -   Jeans skinny crop Isa encerado
      + 0:18:41   -   Vestido estampado cinturón
      + 0:18:41   -   Pantalón pinzas algodón
      + 0:18:41   -   Jersey punto plisado 
      + 0:18:41   -   Pantalón pinzas algodón
      + 0:18:41   -   Chubasquero embolsable water repellent
      + 0:18:41   -   Vestido pliegues decorativos
      + 0:18:41   -   Jeans slouchy pinzas 
      + 0:18:41   -   Americana traje estructurada
      + 0:18:41   -   Top punto asimétrico
      + 0:18:41   -   Americana traje modal
      + 0:18:41   -   Jeans slouchy pinzas 
      + 0:18:41   -   Falda lápiz efecto piel
      + 0:18:41   -   Vestido plisado lurex
      + 0:18:41   -   Sobrecamisa lyocell bolsillos
      + 0:18:41   -   Vestido camisero algodón
      + 0:18:41   -   Jersey punto combinado relieve
      + 0:18:41   -   Vestido camisero lino
      + 0:18:41   -   Americana entallada crepé
      + 0:18:41   -    Camiseta hombreras algodón orgánico
      + 0:18:41   -   Vestido camisero midi
      + 0:18:42   -   Cárdigan plisado largo
