··········9 - 26··········
13:1   -   1 productos  -  https://www.zara.com/co/es/origins-collection-l4661.html
    + 13:2:42   -   BLAZER LINO PUÑO ESTAMPADO
    + 13:2:42   -   BLAZER CON LINO PUÑO ESTAMPADO
    + 13:2:42   -   BLAZER CON LINO RAYAS
    + 13:2:43   -   CHALECO CON LINO
    + 13:2:43   -   CHALECO CON LINO
    + 13:2:43   -   BLAZER RECTA
    + 13:2:43   -   BLAZER ENTALLADA BOTONES
    + 13:2:43   -   BLAZER ENTALLADA BOLSILLOS
    + 13:2:43   -   BLAZER OVERSIZE
    + 13:2:43   -   BLAZER RÚSTICA PUÑO ESTAMPADO
    + 13:2:44   -   BLAZER FLUIDA LIMITED EDITION
    + 13:2:44   -   BLAZER OVERSIZE LINO LIMITED EDITION
    + 13:2:44   -   CHALECO OVERSIZE LINO LIMITED EDITION
    + 13:2:44   -   BLAZER LINO RECTA
    + 13:2:44   -   BLAZER OVERSIZE FLUIDA
    + 13:2:44   -   BLAZER ENTALLADA PATA GALLO
    + 13:2:44   -   BLAZER CRUZADA
    + 13:2:45   -   BLAZER CROP ESTRUCTURA
    + 13:2:45   -   BLAZER ENTALLADA JASPEADA
X 13:2:45   -   'familyName'
X 13:2:45   -   'price'
X 13:2:45   -   'familyName'
    + 13:2:45   -   BLAZER ENTALLADA HOMBRERAS
    + 13:2:45   -   BLAZER CRUZADA
    + 13:2:45   -   BLAZER SIN SOLAPA
    + 13:2:45   -   BLAZER ESTRUCTURA PATA DE GALLO
    + 13:2:45   -   BLAZER OVERSIZE FLUIDA
    + 13:2:46   -   BLAZER BOLSILLOS PLASTRÓN
    + 13:2:46   -   CHALECO HALTER CON LINO
    + 13:2:46   -   CHALECO HALTER CON LINO
    + 13:2:46   -   CHALECO CRUZADO CINTURÓN
    + 13:2:46   -   BLAZER ESTRUCTURA PATA DE GALLO
    + 13:2:46   -   CUERPO ESTRUCTURA DESFLECADO
    + 13:2:46   -   BLAZER SIN SOLAPA
    + 13:2:47   -   BLAZER ENTALLADA HOMBRERAS
    + 13:2:47   -   BLAZER ENTALLADA HOMBRERAS
    + 13:2:47   -   BLAZER CROP ESTRUCTURA
    + 13:2:47   -   BLAZER ENTALLADA CRUZADA
    + 13:2:47   -   BLAZER CON LINO PUÑO ESTAMPADO
    + 13:2:47   -   BLAZER RECTA
    + 13:2:47   -   BLAZER ENTALLADA HOMBRERAS
    + 13:2:47   -   BLAZER CORTA ESTRUCTURA
    + 13:2:48   -   BLAZER PUÑO ESTAMPADO
    + 13:2:48   -   BLAZER ENTALLADA EFECTO PIEL
    + 13:2:48   -   BLAZER LARGA HOMBRERAS
    + 13:2:48   -   BLAZER LARGA HOMBRERAS
    + 13:2:48   -   BLAZER LARGA HOMBRERAS
    + 13:2:48   -   BLAZER CROP COSTURAS
    + 13:2:48   -   BLAZER FLUIDA LIMITED EDITION
    + 13:2:49   -   BLAZER ENTALLADA LIMITED EDITION
    + 13:2:49   -   BLAZER ENTALLADA LIMITED EDITION
    + 13:2:49   -   BLAZER ENTALLADA CRUZADA
    + 13:2:49   -   BLAZER CROPPED
    + 13:2:49   -   BLAZER ENTALLADA EFECTO PIEL
    + 13:2:49   -   BLAZER CROP ESTRUCTURA
13:4   -   260 productos  -  https://www.zara.com/co/es/mujer-chaquetas-l1114.html
    + 13:4:30   -   CHAQUETA ACOLCHADA CINTURÓN WATER AND WIND PROTECTION
X 13:4:30   -   'commercialComponents'
    + 13:4:30   -   CHAQUETA ACOLCHADA CINTURÓN WATER AND WIND PROTECTION
    + 13:4:30   -   CHAQUETA ACOLCHADA CINTURÓN WATER AND WIND PROTECTION
    + 13:4:30   -   CAZADORA EFECTO PIEL WATER AND WIND PROTECTION
    + 13:4:31   -   CAZADORA ACOLCHADA CROPPED WATER AND WIND PROTECTION
    + 13:4:31   -   CHALECO CAPUCHA EFECTO PIEL
    + 13:4:31   -   CHALECO CAPUCHA EFECTO PIEL
    + 13:4:31   -   CHALECO CAPUCHA EFECTO PIEL
    + 13:4:31   -   CAZADORA ACOLCHADA CORTA WATER AND WIND PROTECTION
    + 13:4:31   -   CHAQUETA ACOLCHADA MANGA DESMONTABLE WATER REPELLENT
    + 13:4:31   -   CHALECO CAPUCHA EFECTO PIEL
    + 13:4:32   -   CHALECO CAPUCHA EFECTO PIEL
    + 13:4:32   -   CHALECO WATER REPELLENT AND WIND PROTECTION
    + 13:4:32   -   CHALECO WATER REPELLENT AND WIND PROTECTION
    + 13:4:32   -   CAZADORA CAPUCHA EFECTO PELO
    + 13:4:32   -   CAZADORA EFECTO PELO
    + 13:4:32   -   CHALECO WATER REPELLENT AND WIND PROTECTION
    + 13:4:32   -   CHALECO WATER REPELLENT AND WIND PROTECTION
    + 13:4:33   -   CAZADORA ACOLCHADA CAPUCHA DESMONTABLE WATER AND WIND PROTECTION
    + 13:4:33   -   CAZADORA BOLSILLOS
    + 13:4:33   -   SOBRECAMISA ESTAMPADA CHALECO ACOLCHADO
    + 13:4:33   -   CAZADORA EFECTO PIEL
    + 13:4:33   -   CHALECO EFECTO PIEL
    + 13:4:33   -   CHAQUETA ACOLCHADA WATER REPELLENT
    + 13:4:33   -   CAZADORA DENIM BRILLOS
    + 13:4:33   -   CAZADORA ACOLCHADA WATER REPELLENT
X 13:4:33   -   'price'
    + 13:4:34   -   CAZADORA ACOLCHADA WATER REPELLENT
    + 13:4:34   -   SUDADERA ACOLCHADA WATER REPELLENT
    + 13:4:34   -   CHALECO ACOLCHADO WATER REPELLENT
    + 13:4:34   -   CAZADORA ACOLCHADA WATER REPELLENT EMBOLSABLE
    + 13:4:34   -   CAZADORA ACOLCHADA WATER REPELLENT
    + 13:4:34   -   BOMBER ACOLCHADA WATER REPELLENT
    + 13:4:35   -   CAZADORA BOLSILLOS
